Manufacturer,Model,Month,Year,Km,Kw,Ps,Price,state,engine,Benz
BMW105,"""750i""",8,2017,11000,330,449,106440,0,1,no
BMW106,"""530d""",NA,2018,10,195,265,69490,1,0,no
BMW107,"""M4""",10,2016,10688,317,431,62844,0,1,no
BMW108,"""i8""",11,2014,50800,170,231,82500,0,0,no
BMW109,"""750d""",9,2016,19800,294,400,77900,0,0,no
BMW110,"""740Ld""",4,2017,22600,235,320,74989,0,0,no
BMW111,"""X5""",5,2017,16950,190,258,61780,0,0,no
BMW112,"""430d""",NA,2018,0,190,258,62450,1,0,no
BMW113,"""750i""",3,2016,22204,330,449,77403,0,1,no
BMW114,"""X5""",NA,2018,0,190,258,93160,1,0,no
BMW115,"""540i""",4,2017,17350,250,340,62680,0,1,no
BMW116,"""X5""",NA,2018,0,190,258,94450,1,0,no
BMW117,"""X6""",1,2017,18500,230,313,75877,0,1,no
BMW118,"""M5""",NA,2018,10,441,600,158000,1,1,no
BMW119,"""750i""",12,2015,49300,330,449,67980,0,1,no
BMW120,"""Z8""",10,2003,39000,280,381,275000,0,1,no
BMW121,"""X6""",12,2017,12,190,258,75990,1,0,no
BMW122,"""740d""",4,2016,37170,235,320,71980,0,0,no
BMW123,"""1600""",1,1970,80570,62,84,69950,0,1,no
BMW124,"""X6""",2,2017,6000,423,575,97800,0,1,no
BMW125,"""X4""",NA,2018,0,140,190,68180,1,0,no
BMW126,"""M4""",NA,2018,0,331,450,98930,1,1,no
BMW127,"""X6""",NA,2018,0,423,575,165000,1,1,no
BMW128,"""X5""",4,2016,23492,230,313,62990,0,0,no
BMW129,"""M4""",4,2017,16872,331,450,76980,0,1,no
BMW130,"""M4""",4,2017,19850,331,450,70400,0,1,no
BMW131,"""650i""",2,2015,15800,330,449,67800,0,1,no
BMW132,"""M2""",6,2017,3300,309,420,65000,0,1,no
BMW133,"""X4""",NA,2018,0,265,360,73950,1,0,no
BMW134,"""M4""",4,2017,15805,331,450,73680,0,1,no
BMW135,"""X6""",6,2017,15000,280,381,79680,0,1,no
BMW136,"""520d""",NA,2018,6,140,190,67330,1,0,no
BMW137,"""X6""",11,2016,22000,280,381,74830,0,1,no
BMW138,"""Z1""",4,1990,46475,150,204,65500,0,1,no
BMW139,"""520""",NA,2018,3,140,190,61500,1,0,no
BMW140,"""X5""",1,2018,5,230,313,86990,1,0,no
BMW141,"""X6""",10,2015,29902,280,381,65900,0,1,no
BMW142,"""640i""",7,2017,27200,250,340,77990,0,1,no
BMW143,"""M3""",5,2017,11700,331,450,66600,0,1,no
BMW144,"""M4""",2,2016,29981,317,431,69950,0,1,no
BMW145,"""X6""",NA,2018,0,423,575,151075,1,1,no
BMW146,"""640""",NA,2018,0,250,340,81990,1,1,no
BMW147,"""M4""",6,2017,6200,331,450,66800,0,1,no
BMW148,"""430i""",NA,2018,0,185,252,68590,1,0,no
BMW149,"""330d""",NA,2018,0,190,258,75830,1,0,no
BMW150,"""X2""",NA,2018,0,140,190,62540,1,0,no
BMW151,"""M4""",3,2016,4500,317,431,64900,0,1,no
BMW152,"""M2""",3,2018,1000,272,370,60990,0,1,no
BMW153,"""1600""",3,1969,8000,63,86,75000,0,1,no
BMW154,"""M6""",2,2017,25600,412,560,83480,0,1,no
BMW155,"""X5""",2,2017,24865,190,258,64880,0,0,no
BMW156,"""M4""",2,2017,14890,331,450,70500,0,1,no
BMW157,"""M2""",NA,2018,11,272,370,64820,1,1,no
BMW158,"""X6""",NA,2018,0,190,258,94990,1,0,no
BMW159,"""X6""",2,2017,15590,230,313,64250,0,0,no
BMW160,"""i8""",7,2015,10441,170,231,95990,0,0,no
BMW161,"""740d""",4,2016,58939,235,320,62980,0,0,no
BMW162,"""M4""",9,2016,20,317,431,69890,1,1,no
BMW163,"""530d""",10,2017,9500,195,265,66890,0,0,no
BMW164,"""430d""",NA,2018,0,190,258,75110,1,0,no
BMW165,"""Z3""",5,1997,13200,236,321,79500,0,1,no
BMW166,"""630""",10,2017,5200,195,265,75890,0,0,no
BMW167,"""6""",2,2014,39617,412,560,69950,0,1,no
BMW168,"""X5""",NA,2018,0,230,313,98840,1,1,no
BMW169,"""630d""",3,2018,250,195,265,82450,0,0,no
BMW170,"""M4""",NA,2018,3,331,450,95200,1,1,no
BMW171,"""530i""",11,2017,6378,185,252,65312,0,1,no
BMW172,"""530d""",2,2017,3250,195,265,69990,0,0,no
BMW173,"""530i""",1,2018,5,185,252,73240,1,1,no
BMW174,"""640d""",9,2017,18000,230,313,85990,0,0,no
BMW175,"""X6""",10,2016,15200,230,313,61899,0,0,no
BMW176,"""740e""",9,2016,62560,190,258,62800,0,1,no
BMW177,"""630d""",1,2018,2500,195,265,91320,0,0,no
BMW178,"""750Ld""",10,2016,12050,294,400,81850,0,0,no
BMW179,"""X5""",NA,2018,0,190,258,83370,1,0,no
BMW180,"""740Ld""",5,2017,14784,235,320,73999,0,0,no
BMW181,"""530d""",9,2017,8406,195,265,61703,0,0,no
BMW182,"""330d""",NA,2018,0,190,258,75730,1,0,no
BMW183,"""630d""",NA,2018,0,195,265,80840,1,0,no
BMW184,"""530i""",NA,2018,0,185,252,66490,1,1,no
BMW185,"""740Ld""",1,2016,69850,235,320,67900,0,0,no
BMW186,"""X5""",7,2017,4182,190,258,62700,0,0,no
BMW187,"""X3""",NA,2018,0,140,190,69815,1,0,no
BMW188,"""420i""",NA,2018,0,135,184,60250,1,0,no
BMW189,"""X3""",10,2017,8900,195,265,67777,0,0,no
BMW190,"""640""",10,2017,8000,250,340,82970,0,1,no
BMW191,"""530""",1,2018,3,185,252,63400,1,1,no
BMW192,"""X5""",NA,2018,0,230,313,99990,1,1,no
BMW193,"""X5""",1,2018,500,190,258,76350,0,0,no
BMW194,"""520d""",NA,2018,0,140,190,72000,1,0,no
BMW195,"""530d""",10,2017,16500,195,265,63800,0,0,no
BMW196,"""730d""",5,2017,12367,195,265,64990,0,0,no
BMW197,"""X6""",10,2016,39800,280,381,72470,0,1,no
BMW198,"""540i""",NA,2018,0,250,340,100480,1,1,no
BMW199,"""M5""",NA,2018,35,441,600,153510,1,1,no
BMW200,"""7""",6,2016,19200,195,265,92548,0,0,no
BMW201,"""M6""",3,2014,46014,423,575,71302,0,1,no
BMW202,"""730d""",7,2016,25500,195,265,62989,0,0,no
BMW203,"""730d""",5,2016,32360,195,265,71830,0,0,no
BMW204,"""320d""",NA,2018,0,140,190,65320,1,0,no
BMW205,"""740d""",1,2017,7889,235,320,66660,0,0,no
BMW206,"""740d""",6,2017,2682,235,320,81900,0,0,no
BMW207,"""X4""",NA,2018,0,265,360,64990,1,1,no
BMW208,"""M6""",6,2017,16000,412,560,93990,0,1,no
BMW209,"""X3""",2,2018,8000,195,265,69900,0,0,no
BMW210,"""X4""",NA,2018,0,140,190,65710,1,0,no
BMW211,"""640d""",6,2013,100,230,313,69900,1,0,no
BMW212,"""1er""",6,2012,16070,250,340,60000,0,1,no
BMW213,"""540i""",NA,2018,0,250,340,75570,1,1,no
BMW214,"""M4""",4,2017,23499,317,431,66659,0,1,no
BMW215,"""X5""",3,2017,1100,280,381,80399,0,1,no
BMW216,"""M6""",8,2017,11000,441,600,99990,0,1,no
BMW217,"""M550i""",NA,2018,0,340,462,119450,1,1,no
BMW218,"""530i""",NA,2018,0,185,252,70990,1,1,no
BMW219,"""530d""",3,2017,7072,195,265,60902,0,0,no
BMW220,"""X6""",7,2017,4065,230,313,71900,0,0,no
BMW221,"""640""",8,2017,500,230,313,80999,0,0,no
BMW222,"""X5""",3,2017,12400,190,258,62600,0,0,no
BMW223,"""630""",NA,2018,0,195,265,93550,1,0,no
BMW224,"""X6""",5,2017,7026,423,575,99450,0,1,no
BMW225,"""X5""",6,2017,8900,423,575,103950,0,1,no
BMW226,"""730""",1,2018,2000,195,265,95500,0,0,no
BMW227,"""540i""",NA,2018,5,250,340,69680,1,1,no
BMW228,"""530i""",7,2017,6656,185,252,71060,0,1,no
BMW229,"""M4""",7,2017,3500,331,450,66990,0,1,no
BMW230,"""X5""",NA,2018,0,170,231,64790,1,0,no
BMW231,"""X5""",4,2017,13951,280,381,84890,0,0,no
BMW232,"""730d""",4,2017,24139,195,265,69460,0,0,no
BMW233,"""530d""",NA,2018,2,195,265,76900,1,0,no
BMW234,"""530d""",8,2017,19900,195,265,66925,0,0,no
BMW235,"""730""",NA,2018,5,195,265,92600,1,0,no
BMW236,"""M3""",8,2016,12900,331,450,65900,0,1,no
BMW237,"""540d""",12,2017,10,235,320,79990,1,0,no
BMW238,"""X5""",1,2018,8000,225,306,72992,0,1,no
BMW239,"""X5""",2,2017,20000,230,313,67800,0,0,no
BMW240,"""730d""",2,2017,18940,195,265,64990,0,0,no
BMW241,"""X6""",6,2017,10397,330,449,99930,0,1,no
BMW242,"""530d""",NA,2018,3,195,265,75850,1,0,no
BMW243,"""520""",NA,2018,1,140,190,61500,1,0,no
BMW244,"""Z8""",3,2002,34800,294,400,249900,0,1,no
BMW245,"""730d""",NA,2018,0,195,265,95590,1,0,no
BMW246,"""3200""",7,1964,51294,118,160,129115,0,0,no
BMW247,"""740i""",5,2017,5805,240,326,98015,0,1,no
BMW248,"""X5""",1,2018,8000,230,313,89290,0,0,no
BMW249,"""740d""",7,2017,11500,235,320,84690,0,0,no
